License Type,Business Name,Street Address,Status,City,State,Zip Code,Phone No.,year,LicenceNumber
Donation Box License,BETTER WORLD BOOKS,1217 E IRELAND RD,RENEWED,South Bend,IN,46614,574-855-5222,2021,DNB2021-007
Restaurant (A-M) License,MEIJER GAS STATION #120,"21501 CLEVELAND RD,  SOUTH BEND,  46628",RENEWED,SOUTH BEND,IN,46628,574-273-3400,2021,RST2021-162
Restaurant (A-M) License,BENDIX FAMILY RESTAURANT LLC GM,1529 MIAMI ST,RENEWED,SOUTH BEND,IN,46613,NA,2022,RST2022-185
Automotive Repair License,BELLE TIRE DISTRIBUTORS INC.,3660 N. PORTAGE AVE,RENEWED,SOUTH BEND,IN,46628,574-314-5226,2022,AUT2022-073
Restaurant (N-Z) License,Simeri's Old Town Tap,"1505 W INDIANA AVE, SOUTH BEND, IN, 46613",RENEWED,SOUTH BEND,IN,46613,574-28-91361,2022,RST2022-082
Automotive Repair License,MAIN MUFFLER & BRAKE,1836 S MICHIGAN ST,RENEWED,South Bend,IN,46613,574-289-2835,2022,AUT2022-042
Massage Establishment License,HEART TO HEART MASSAGE AND WELLNESS,115 N WILLIAM ST,READY2ISSU,SOUTH BEND,IN,46601,574-309-2220,2021,MSE2021-012
Donation Box License,BETTER WORLD BOOKS,2081 SOUTH BEND AVE,RENEWED,MISHAWAKA,IN,46545,888-570-7103,2020,6580DBAC2020
Alarm Agent License,STANLEY CONVERGENT SECURITY SOLUTIONS INC.,8350 Sunlight Dr,RENEWED,FISHERS,IN,46037,317-703-1206,2022,ALR2022-048
Restaurant (N-Z) License,SUPER 8 MOTEL,4124 AMERITECH DR,RENEWED,SOUTH BEND,IN,46628,574-243-0200,2022,RST2022-275
Restaurant (N-Z) License,ROZELL ROYAL RIBS,313 CHAPIN ST,ACTIVE,SOUTH BEND,IN,46601,574-234-6980,2022,RST2022-395
Restaurant (N-Z) License,STARBUCKS,123 N  DR MARTIN LUTHER KING JR BLVD,RENEWED,SOUTH BEND,IN,46601,574-234-2000,2020,8070RESTZ2020
Restaurant (N-Z) License,Bakers Bar & Grille,"123 N DR. MARTIN LUTHER KING JR DR, SOUTH BEND, IN, 46601",RENEWED,South Bend,IN,46601,574-234-2000,2021,RST2021-016
Taxi Vehicle License,"UNITED CAB OF SOUTH BEND, LLC",2107 S. MICHIGAN ST.,RENEWED,SOUTH BEND,IN,46613,574-233-9599,2022,TXV2022-002
Hotel and Motel License,SOUTH BEND MOTEL CORPORATION,3420 S MICHIGAN ST,ACTIVE,SOUTH BEND,IN,46614,574-291-6330,2023,HTM2023-010
Massage Therapist License,Dena M. Woods,20807 Wellesley Ct,ACTIVE,SOUTH BEND,IN,46637,574-261-8500,2023,MST2023-010
Automotive Repair License,"KEITH'S AUTOMOTIVE/VACH, INC",2822 W SAMPLE ST,CLOSED,SOUTH BEND,IN,46619,574-287-2955,2021,AUT2021-028
Alarm Agent License,"T.C. SECURITY CO., INC.",2214   MIAMI ST,CLOSED,SOUTH BEND,IN,46613,574-232-2664,2020,1695ALARM2020
Alarm Agent License,"JP MORGAN CHASE, CORPORATE SEC",1820 E Sky Harbor Cir S,EXPIRED,PHOENIX,AZ,85034,312-954-2813,2022,ALR2022-054
Alarm Agent License,FIFTH THIRD BANK,301 N MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-245-5000,2022,ALR2022-052
Restaurant (A-M) License,La Nonna,525 N EDDY ST,RENEWED,SOUTH BEND,IN,46617,574-931-2179,2021,RST2021-308
Lawn Parking License,1120 N. TWYCKENHAM DR.,1120 N. TWYCKENHAM DR.,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-023
Hotel and Motel License,Super 8 Motel,"4124 AMERITECH DR, SOUTH BEND, IN, 46628",RENEWED,SOUTH BEND,IN,46628,574-243-0200,2021,HTM2021-006
Restaurant (N-Z) License,RICO SUAVE GROUP LLC,55891 MAYFLOWER RD.,INACTIVE,SOUTH BEND,IN,46619,574-485-9093,2023,RST2023-273
Charitable Solicitation License,SOUTH BEND FIREFIGHTER'S ASSOCIATION,904 W  4TH ST,RENEWED,SOUTH BEND,IN,46624,574-233-9045,2020,1573CHAR2020
Restaurant (N-Z) License,SPIRITED LLC,105 E JEFFERSON BLVD,ACTIVE,SOUTH BEND,IN,46615,574-406-6946,2023,RST2023-276
Massage Therapist License,PAMELA ANNE LA MANNA,2318 Joni Ln,RENEWED,STEVENSVILLE,MI,49127,574-850-5090,2020,7105MSGTEC2020
Massage Establishment License,CHINESE MASSAGE SPA,"2614 S MICHIGAN ST,  SOUTH BEND,  46614",INACTIVE,SOUTH BEND,IN,46614,574-274-7005,2021,MSE2021-007
Restaurant (A-M) License,"The Blue Heron Of South Bend, Inc.",5440 Nimtz Parkway,RENEWED,South Bend,IN,46628,574-233-3091,2022,RST2022-016
Massage Therapist License,DENA MARIE WOODS,20807 Wellesley Ct,RENEWED,SOUTH BEND,IN,46637,574-261-8500,2020,8013MSGTEC2020
Restaurant (A-M) License,IRONHAND VINEYARD / WINEBAR,1025   NORTHSIDE BLVD,RENEWED,SOUTH BEND,IN,46628,574-204-2700,2020,8376RESTAM2020
Arborist License,DOUGLAS LANDSCAPE INC,23590 ARDMORE TRL,RENEWED,SOUTH BEND,IN,46628,574-287-8908,2022,ARB2022-001
Restaurant (A-M) License,FRANKIE'S BBQ INC.,1621 W WASHINGTON ST,READY2ISSU,SOUTH BEND,IN,46628,574-287-8993,2023,RST2023-313
Secondhand Store License,MIAMI VILLAGE CONSIGNMENT SHOPPE,2123 MIAMI ST,RENEWED,SOUTH BEND,IN,46613,574-287-2655,2022,SHN2022-001
Restaurant (A-M) License,ARBY'S #7215,209 W. SAMPLE ST.,RENEWED,SOUTH BEND,IN,46601,574-291-1208,2021,RST2021-224
Restaurant (A-M) License,HACIENDA MEXICAN RESTAURANT,3903   PORTAGE AVE,RENEWED,SOUTH BEND,IN,46635,574-273-3843,2020,723RESTAM2020
Tattoo/Body Piercing Artist License,JONATHAN J. RAMIREZ,1853   RANDOLPH ST,CLOSED,SOUTH BEND,IN,46613,574-312-5839,2020,8680TA2020
Restaurant (A-M) License,JAVA BOWL OF SOUL LLC,201 S MAIN ST.,RENEWED,SOUTH BEND,IN,46601,208-404-8244,2021,RST2021-471
Restaurant (A-M) License,BRUNO'S PIZZA DTSB,"131 S MICHIGAN ST, SOUTH BEND, 46601",RENEWED,South Bend,IN,46601,574-234-2222,2022,RST2022-240
Mobile Food Vendor (N-Z) 1 Year License,ROHR'S FOOD TRUCK,"1399 N NOTRE DAME AV,  SOUTH BEND,  46617",INACTIVE,NOTRE DAME,IN,46556,574-631-2254,2021,MFV2021-006
Donation Box License,BETTER WORLD BOOKS,3457 PORTAGE AVE,READY2ISSU,South Bend,IN,46628,574-855-5222,2023,DNB2023-004
Restaurant (A-M) License,Finnies Next Door,233 S MAIN ST,READY2ISSU,South Bend,IN,46601,574-404-6100,2023,RST2023-082
Automotive Repair License,MCDANIELS HARLEY-DAVIDSON,1910 LINCOLN WAY E,RENEWED,SOUTH BEND,IN,46613,574-289-6650,2021,AUT2021-041
Restaurant (A-M) License,THE MADISON OYSTER BAR,129 N MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-288-3776,2021,RST2021-461
Alarm Agent License,"FSS TECHNOLOGIES, LLC",3858 Bestech Dr. Suite E,EXPIRED,YPSILANTI,MI,49287,888-412-5356,2022,ALR2022-055
Restaurant (A-M) License,Jimmy John's,138 S. Michigan St.,RENEWED,South Bend,IN,46601,630-303-0461,2021,RST2021-160
Peddlers and Canvassers License,JORDIAN COOPER / EMBROIDER ME,175 CONCORD AVE.,EXPIRED,SOUTH BEND,IN,46619,574-440-9726,2022,PDL2022-001
Restaurant (A-M) License,BURGER KING #6574,4852 W WESTERN AVE,RENEWED,South Bend,IN,46619,574-232-3622,2022,RST2022-190
Restaurant (A-M) License,THE LOCAL CUP,1009   PORTAGE AVE,RENEWED,SOUTH BEND,IN,46616,574-232-9182,2020,7412RESTAM2020
Secondhand Store License,WALMART #3436,700 W  IRELAND RD,RENEWED,BENTONVILLE,AR,72716-0500,574-299-1284,2020,6489SECOND2020
Restaurant (N-Z) License,ROSALES PLAZA,2812 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-234-4192,2022,RST2022-044
Type Description,Case Name,Location,Status,People - City,People - State,People - Zip,People - Work Phone,2021,Number
Restaurant (A-M) License,FIESTA CANCUN MEXICAN RESTAURA,4502 S  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-404-6644,2020,7793RESTAM2020
Restaurant (A-M) License,THE LANDING CATERING,2801 S  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-299-9126,2020,1784RESTAM2020
Restaurant (N-Z) License,TAQUERIA CHICAGO,2920 W  WESTERN AVE,CLOSED,SOUTH BEND,IN,46619,574-234-6775,2020,1043RESTZ2020
Restaurant (A-M) License,McDonald's,"4711 MIAMI ST, SOUTH BEND, IN, 46614",RENEWED,South Bend,IN,46614,574-291-8838,2022,RST2022-085
Restaurant (A-M) License,BROADWAY CHRISTIAN PARISH,1412 CARROLL ST,RENEWED,SOUTH BEND,IN,46613,574-289-0333,2021,RST2021-192
Restaurant (N-Z) License,PILOT TRAVEL CENTER #035,6424 W BRICK RD,ACTIVE,SOUTH BEND,IN,46628,574-272-8212,2023,RST2023-385
Automotive Repair License,MICHIANA TRUCK CENTER,3610   DEAHL CT,RENEWED,SOUTH BEND,IN,46619,574-277-7300,2020,1667AUTO2020
Restaurant (A-M) License,NAVARRE AT THE BRICK,1145 NORTHSIDE BLVD,RENEWED,SOUTH BEND,IN,46615,574-217-8359,2021,RST2021-414
Restaurant (A-M) License,La Nonna,525 N EDDY ST,CLOSED,SOUTH BEND,IN,46617,574-931-2179,2022,RST2022-477
Massage Therapist License,MEI LI SUN,14535 Day Rd,RENEWED,MISHAWAKA,IN,46545,NA,2021,MST2021-005
Restaurant (A-M) License,Jack's Donuts of South Bend,"623 E Lasalle Ave, South Bend, Indiana, 46617",ACTIVE,South Bend,IN,46617,312-636-4930,2023,RST2023-194
Massage Establishment License,Dig Deep Massage Co.,401 E COLFAX AVE,RENEWED,South Bend,IN,46617,574-800-1994,2021,MSE2021-003
Restaurant (A-M) License,EWING CAFE,111 W EWING AVE,RENEWED,SOUTH BEND,IN,46601,574-237-9404,2021,RST2021-331
Restaurant (N-Z) License,CHOCOLATE CAFE' - SOUTH BEND CLINIC,"211 N EDDY ST, SOUTH BEND, IN, 46617",RENEWED,SOUTH BEND,IN,46617,574-233-2577,2021,RST2021-237
Restaurant (N-Z) License,SAINT JOSEPH YOUNG MEN'S SOCIE,408 S  GRANT ST,RENEWED,SOUTH BEND,IN,46619,574-288-3121,2020,1247RESTZ2020
Restaurant (N-Z) License,TIPPECANOE PLACE RESTAURANT,620 W WASHINGTON ST,RENEWED,SOUTH BEND,IN,46601,NA,2021,RST2021-410
Restaurant (N-Z) License,CHARTWELLS - SUCCESS ACADEMY,3408   ARDMORE TRL,RENEWED,SOUTH BEND,IN,46628,574-299-9800,2020,7231RESTZ2020
Lawn Parking License,1124 N. EDDY ST.,1124 N. EDDY ST.,INACTIVE,SOUTH BEND,IN,46617,574-850-4080,2021,LWN2021-002
Automotive Repair License,SNYDER BROTHER'S GARAGE INC.,1335   PORTAGE AVE,RENEWED,SOUTH BEND,IN,46616,574-233-0282,2020,7618AUTO2020
Restaurant (N-Z) License,STUDEBAKER NATIONAL MUSEUM INC,201   CHAPIN ST,RENEWED,SOUTH BEND,IN,46601,574-235-9714,2020,7057RESTZ2020
Restaurant (A-M) License,BENDIX FAMILY RESTAURANT LLC GM,1529 MIAMI ST,ACTIVE,SOUTH BEND,IN,46613,574-232-7688,2023,RST2023-324
Alarm Agent License,"SHOFF SECURITY SERVICES, INC.",722 Middleton Run Rd,RENEWED,ELKHART,IN,46516,574-293-6157,2020,5072ALARM2020
Donation Box License,BETTER WORLD BOOKS,1404 IVY CT,RENEWED,SOUTH BEND,IN,46637,NA,2022,DNB2022-002
Restaurant (A-M) License,MONROE PRIMARY SCHOOL,312 E DONMOYER AVE,EXPIRED,SOUTH BEND,IN,46614,574-393-2511,2022,RST2022-463
Massage Establishment License,MASSAGE BY SUZANNE,914   LINCOLN WAY,RENEWED,SOUTH BEND,IN,46616,574-993-7537,2020,8469MSGEST2020
Automotive Repair License,FE MOTORS INC,3417 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-387-1596,2020,6458AUTO2020
Restaurant (N-Z) License,STAR 001 LLC,3323 PRAIRIE AVE,RENEWED,SOUTH BEND,IN,46614,574-217-7630,2022,RST2022-231
Charitable Solicitation License,SOUTH BEND FIREFIGHTER'S ASSOCIATION INC,904 W 4TH ST,ACTIVE,MISHAWAKA,IN,46544,574-233-9045,2022,CHS2022-006
Restaurant (N-Z) License,Yellow Cat Cafe,"808 E COLFAX AVE, SOUTH BEND, IN, 46617",READY2ISSU,South Bend,IN,46617,574-276-4928,2023,RST2023-210
Secondhand Store License,OXIAN'S HOME FURNISHINGS & ANTIQUE SHOP,1527 LINCOLN WAY,EXPIRED,SOUTH BEND,IN,46628,574-232-2227,2021,SHN2021-019
Restaurant (N-Z) License,O'ROURKES PUBLIC HOUSE,1044 E  ANGELA BLVD,RENEWED,SOUTH BEND,IN,46617,574-251-0355,2020,4722RESTZ2020
Restaurant (A-M) License,MC DONALD'S 3206,5021 W WESTERN AVE,ACTIVE,SOUTH BEND,IN,46619,574-400-0775,2023,RST2023-158
Restaurant (N-Z) License,SAINT AUGUSTINE SOUP KITCHEN,1501 W  WASHINGTON ST,RENEWED,SOUTH BEND,IN,46619,574-234-6334,2020,5487RESTZ2020
Restaurant (N-Z) License,STARBUCKS #2931,2202 SOUTH BEND AVE,RENEWED,SEATTLE,WA,98124,574-277-3684,2020,7661RESTZ2020
Restaurant (A-M) License,"CORBY'S LOUNGE, INC",441 E LASALLE AVE,RENEWED,SOUTH BEND,IN,46617,574-233-5326,2021,RST2021-100
Hotel and Motel License,KNIGHT INN,3233 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46628,574-204-2650,2021,HTM2021-013
Automotive Repair License,PEQUENO AUTO SERVICE,4014 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-876-6144,2020,1571AUTO2020
Massage Establishment License,COUNCIL OAK MASSAGE,3302 PORTAGE AVE.,INACTIVE,SOUTH BEND,IN,46628,NA,2022,MSE2022-013
Restaurant (N-Z) License,St Matthew Cathedral School,1015 E DAYTON,ACTIVE,South Bend,IN,46613,574-289-4535,2023,RST2023-203
Alarm Agent License,PROTECTION PLUS SECURITY ALARM,50564   GLENSHIRE CT,RENEWED,GRANGER,IN,46530,574-276-8675,2020,1664ALARM2020
Restaurant (A-M) License,L Street Kitchen INC,"131 S LAFAYETTE BLVD, SOUTH BEND, IN, 46601",RENEWED,SOUTH BEND,IN,46601,574 347 4560,2021,RST2021-126
Restaurant (A-M) License,CIAO'S CATERING,123 N MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-274-5951,2022,RST2022-333
Automotive Repair License,MARYCREST AUTO CENTER,2306 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-233-8375,2021,AUT2021-052
Taxi Vehicle License,EAGLE CAB LLC,1657 COMMERCE DR.,ACTIVE,SOUTH BEND,IN,46628,574-287-6666,2022,TXV2022-014
Alarm Agent License,COMCAST BROADBAND SECURITY LLC,1701 John F Kennedy Blvd,RENEWED,PHILADELPHIA,PA,19103,215-286-3300,2022,ALR2022-057
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN,5011 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46601,NA,2021,RST2021-327
Restaurant (N-Z) License,THE EXCHANGE,112 W JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46601,574-310-8999,2022,RST2022-389
Restaurant (N-Z) License,TACO BELL #3004058,5131 W  WESTERN AVE,RENEWED,WEST LINN,OR,97068-0507,503-722-2825,2020,7657RESTZ2020
Restaurant (A-M) License,MEIJER STORE #120,3600 Portage Rd,RENEWED,South Bend,IN,46628,574-273-3400,2022,RST2022-271
Automotive Repair License,Zolman Tire Inc.,406 E MONROE ST,RENEWED,SOUTH BEND,IN,46601,574-287-3391,2022,AUT2022-003
Restaurant (N-Z) License,Pedro's Family Restaurant,"3314 PORTAGE AVE, SOUTH BEND, IN, 46628",RENEWED,SOUTH BEND,IN,46628,NA,2021,RST2021-275
Automotive Repair License,Froggys Automotive,"1510 E CALVERT ST, SOUTH BEND, IN, 46613",RENEWED,SOUTH BEND,IN,46613,574-383-2071,2022,AUT2022-077
Restaurant (A-M) License,FIRST BRETHREN CHURCH,"4909 S IRONWOOD DR, SOUTH BEND, IN, 46614",RENEWED,SOUTH BEND,IN,46614,574-2914909,2021,RST2021-036
Secondhand Store License,WORLDWIDE JEWELRY & PAWN,1072   LINCOLN WAY,RENEWED,BRISTOL,IN,46507,574-848-1410,2020,1637SECOND2020
Alarm Agent License,ACKERMAN SECURITY SYSTEMS,"1346 Oakbrook Dr, Ste. 175, Norcross, GA 30093",RENEWED,NORCROSS,GA,30093,770-798-6873,2020,8245ALARM2020
Restaurant (A-M) License,LITTLE CAESARS PIZZA,3601 EDISON RD,ACTIVE,South Bend,IN,46615,574-243-4680,2023,RST2023-144
Automotive Repair License,ZIEBART,2627 S MAIN ST,EXPIRED,SOUTH BEND,IN,46614,574-232-2073,2022,AUT2022-076
Restaurant (A-M) License,JSS OIL INC. dba HOOSIER SPOT,"2302 S MICHIGAN ST,  SOUTH BEND,  46614",RENEWED,SOUTH BEND,IN,46614,574-222-2290,2021,RST2021-417
Restaurant (N-Z) License,THE SKILLET RESTAURANT,"2212 MCKINLEY AVE, SOUTH BEND, IN, 46615",RENEWED,SOUTH BEND,IN,46615,574-234-6069,2021,RST2021-132
Hotel and Motel License,CANDLEWOOD SUITES,3916 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46628,574-968-1072,2022,HTM2022-010
Restaurant (A-M) License,KING GYROS OF SOUTH BEND INC.,5105 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-288-7010,2020,678RESTAM2020
Restaurant (A-M) License,MCDONALD'S,"4711 MIAMI ST, SOUTH BEND, IN, 46614",ACTIVE,South Bend,IN,46614,574-291-8838,2023,RST2023-223
Restaurant (A-M) License,"FAITH APOSTOLIC TEMPLE, INC",911 N Bendix Dr,READY2ISSU,SOUTH BEND,IN,46628,574-288-3515,2023,RST2023-120
Restaurant (A-M) License,Los Humildes Mexican Restaurant,"4319 W WESTERN AV, SOUTH BEND, 46619",RENEWED,SOUTH BEND,IN,46619,574-520-1980,2022,RST2022-216
Restaurant (A-M) License,"Corbys'S Lounge.,Inc.","441 E LASALLE AVE, SOUTH BEND, 46617",ACTIVE,South Bend,IN,46617,574-233-5326,2023,RST2023-164
Restaurant (A-M) License,MEIJER STORE #120,3600 Portage Rd,RENEWED,South Bend,IN,46628,574-273-3400,2021,RST2021-157
Alarm Agent License,"PRIORITY ONE SECURITY, INC.",18 Interchange Blvd,RENEWED,Greenville,SC,29607,864-226-8515,2022,ALR2022-031
Restaurant (N-Z) License,ORIENTAL EXPRESS,1229 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-291-5588,2021,RST2021-167
Arborist License,HIGHER GROUND TREE CARE LLC,12586 HEATHER PARK DR,RENEWED,GRANGER,IN,46530,574-276-6359,2021,ARB2021-023
Automotive Repair License,Fred & Jim's Garage,"3324 E MISHAWAKA AVE, SOUTH BEND, 46615",RENEWED,SOUTH BEND,IN,46615,574-289-2600,2022,AUT2022-052
Restaurant (A-M) License,CHIMICHURRI,601 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-400-0979,2021,RST2021-058
Alarm Agent License,MELALEUCA SECURITY INC.,4609 W 65th S,RENEWED,IDAHO FALLS,ID,83402,877-760-3444,2022,ALR2022-024
Restaurant (A-M) License,The Bucket,1212 S IRONWOOD DR,RENEWED,SOUTH BEND,IN,46615,574-289-1616,2021,RST2021-065
Restaurant (A-M) License,ALLIE'S CAFE & CATERING,2323   MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-232-9520,2020,823RESTAM2020
Hotel and Motel License,Aloft South Bend,111 N Main St,RENEWED,South Bend,IN,46601,574-288-8000,2022,HTM2022-012
Secondhand Store License,FEMME FATALE GUNS & SPORTING I,1201 S  MAIN ST,CLOSED,SOUTH BEND,IN,46601,574-288-0007,2020,6439SECOND2020
Tattoo/Body Piercing Est License,RUST BELT STUDIO,1302 HIGH ST,RENEWED,SOUTH BEND,IN,46601,574-282-8112,2021,TAE2021-003
Restaurant (A-M) License,PAPA JOHN'S,928 S MAYFLOWER RD,RENEWED,SOUITH BEND,IN,46619,330-533-0900,2022,RST2022-519
Restaurant (A-M) License,FARMER'S MARKET RESTAURANT,1105 NORTHSIDE BLVD,RENEWED,SOUTH BEND,IN,46615,574-282-1259,2021,RST2021-086
Food Vending Machine License,AUTOFROST,2011 N Griffith Blvd,RENEWED,GRIFFITH,IN,46319,219-924-6708,2020,7073VDGMCH2020
Restaurant (N-Z) License,PINELLIA,3601 EDISON RD,RENEWED,SOUTH BEND,IN,46615,574-855-3390,2020,8355RESTZ2020
Alarm Agent License,IRON CLAD SECURITY,12748 Sandy Dr,ACTIVE,GRANGER,IN,46530,574-272-5337,2023,ALR2023-005
Food Vending Machine License,CANTEEN VENDING,4402 TECHNOLOGY DR,RENEWED,SOUTH BEND,IN,46628,574-307-7659,2022,FVM2022-003
Restaurant (A-M) License,CARNICERIA LOS GALLOS,2024 W WESTERN AVE,ACTIVE,SOUTH BEND,IN,46619,574-931-2078,2023,RST2023-364
Restaurant (A-M) License,Dena's Kitchen & Catering LLC,401 E Colfax Ave,RENEWED,South Bend,IN,46617,574-334-7994,2022,RST2022-537
Restaurant (A-M) License,MANDARIN HOUSE RESTAURANT,2104 EDISON RD,RENEWED,SOUTH BEND,IN,46617,574-287-4414,2021,RST2021-152
Restaurant (A-M) License,IRONHAND WINEBAR,1025 NORTHSIDE BLVD,RENEWED,SOUTH BEND,IN,46615,574-204-2700,2021,RST2021-307
Massage Establishment License,THERAPEUTIC INDULGENCE,903 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-520-1664,2021,MSE2021-011
Automotive Repair License,F & S CUSTOMZ,1804   LINCOLN WAY,CLOSED,SOUTH BEND,IN,46618,574-334-0441,2020,8675AUTO2020
Restaurant (A-M) License,Bru Burger Bar,1234 N EDDY ST,RENEWED,South Bend,IN,46617,574-990-9110,2021,RST2021-082
Restaurant (A-M) License,Martin's Express #61,"425 S MAYFLOWER RD, SOUTH BEND, 46619",READY2ISSU,South Bend,IN,46619,574-232-2512,2023,RST2023-123
Secondhand Store License,WORLDWIDE JEWELRY & PAWN,1072 LINCOLN WAY,RENEWED,South Bend,IN,46601,574-232-9909,2021,SHN2021-009
Restaurant (A-M) License,El Sinaloense Restaurant,2224 W WESTERN AVE,RENEWED,South Bend,IN,46619,574-999-1901,2022,RST2022-495
Alarm Agent License,"Landmark Security Systems,inc",24968 County Road 6,RENEWED,Elkhart,IN,46514,574-256-5126,2021,ALR2021-033
Restaurant (A-M) License,"LA FONDA DE LA MIAMI, LLC",2007 MIAMI ST,RENEWED,SOUTH BEND,IN,46613,574-855-2103,2021,RST2021-206
Restaurant (N-Z) License,THE WELL AT RIVER PARK GRACE,2410 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-387-2410,2022,RST2022-391
Restaurant (A-M) License,LONNIE'S 23 INN,1989 PRAIRIE AVE,RENEWED,SOUTH BEND,IN,46613,574-340-8472,2020,757RESTAM2020
Restaurant (A-M) License,GARDEN WOK,919 N BENDIX DR,RENEWED,SOUTH BEND,IN,46628,574-287-6633,2022,RST2022-050
Restaurant (A-M) License,MULLIGANS BAR & GRILL,1705 SOUTH BEND AVE,CLOSED,SOUTH BEND,IN,46637,574-277-5666,2021,RST2021-094
Secondhand Store License,"OZARK TRADING POST, LLC",1530 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-287-7550,2021,SHN2021-003
Automotive Repair License,MIKE BAJDEK SERVICE,323 N  OLIVE ST,RENEWED,SOUTH BEND,IN,46628,574-233-3890,2020,1607AUTO2020
Arborist License,JR LAWN CARE,56827 Pine Rd,EXPIRED,SOUTH BEND,IN,46619,574-315-1209,2021,ARB2021-017
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN,4207 S MICHIGAN ST,ACTIVE,SOUTH BEND,IN,46614,574-291-0083,2023,RST2023-191
Restaurant (A-M) License,THE GENERAL DELI AND CAFE,609 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-286-4193,2021,RST2021-145
Restaurant (A-M) License,BILL'S PLACE FAMILY  RESTAURANT,2105 W WESTERN AVE,ACTIVE,SOUTH BEND,IN,46619,574-282-2002,2023,RST2023-056
Tattoo/Body Piercing Artist License,SIERRA EAGLESON,13929 ADIRONDACK CT.,ACTIVE,MIDDLEBURY,IN,46540,260-350-2841,2023,TAA2023-009
Restaurant (A-M) License,PAPA JOHN'S,3903 PORTAGE AVE #E,RENEWED,SOUTH BEND,IN,46628,330-533-0900,2022,RST2022-518
Restaurant (N-Z) License,TACO BELL,221 W LASALLE AVE,RENEWED,SOUTH BEND,IN,46601,574-233-3431,2022,RST2022-392
Lawn Parking License,634 E. ANGELA BLVD,634 E  ANGELA BLVD,RENEWED,SOUTH BEND,IN,46617,NA,2022,LWN2022-009
Restaurant (A-M) License,BISHOP AND BAE'S SOUL FOOD RESTAURANT,301 CHAPIN ST.,RENEWED,SOUTH BEND,IN,46601,574-229-6775,2022,RST2022-022
Alarm Agent License,AMCEST CORPORATION,1017 Walnut St,EXPIRED,ROSELLE,NJ,07203,800-631-7370,2022,ALR2022-047
Arborist License,Above & Beyond Tree and Shrubbery Service,24961 SR 23 HWY,ACTIVE,SOUTH BEND,IN,46614,574-334-0521,2023,ARB2023-027
Alarm Agent License,KOORSEN FIRE & SECURITY,"3953 RALPH JONES DR, SOUTH BEND, IN, 46628",RENEWED,South Bend,IN,46628,574-277-3322,2022,ALR2022-049
Restaurant (A-M) License,BENDIX FAMILY RESTAURANT,4920 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-287-3037,2022,RST2022-186
Restaurant (A-M) License,ALWAYS OPEN,1401 N  BENDIX DR,RENEWED,SOUTH BEND,IN,46627,574-233-6429,2020,8269RESTAM2020
Alarm Agent License,JOHNSON CONTROLS SECURITY SOLUTIONS INC,3600 W MCGILL ST,RENEWED,SOUTH BEND,IN,46628,561-912-6108,2022,ALR2022-037
Arborist License,New Frontiers Landscaping,"60500 Bremen Highway, Mishawaka, IN 46544",READY2ISSU,MISHAWAKA,IN,46544,574-255-4855,2021,ARB2021-039
Automotive Repair License,V & F MOTORS INC.,4102 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-387-5847,2022,AUT2022-062
Lawn Parking License,1105 N. ST. LOUIS BLVD.,1105 N. ST. LOUIS BLVD.,RENEWED,SOUTH BEND,IN,46617,NA,2021,LWN2021-053
Alarm Agent License,Nelson Alarm,2602 E 55th St,ACTIVE,Indianapolis,IN,46220,317-255-2125,2023,ALR2023-047
Secondhand Store License,ECOATM LLC,"1217 E Ireland Rd, South Bend, Indiana, 46614",RENEWED,South Bend,IN,46614,858-766-7250,2022,SHN2022-014
Restaurant (A-M) License,JC LAUBER,504 E LASALLE AVE,READY2ISSU,SOUTH BEND,IN,46617,574-234-2342,2023,RST2023-361
Mobile Food Vendor (A-M) 1 Year License,MARTINS SIDE STREET DELI,760   COTTER ST,RENEWED,BYRON CENTER,MI,49315,616-878-2785,2020,MFV2020-004
